Date,AAPL,IBM,MSFT,GOOG
2010-12-15,417312000,4447400,69634200,4351650
2010-12-16,322030800,4178600,57680200,3205771
2010-12-17,386929200,10027000,87456500,6197342
2010-12-20,385610400,3995000,52811000,3961393
2010-12-21,256354000,3777100,38153000,3773090
2010-12-22,265921600,3388800,42252300,2424052
2010-12-23,223157200,2424500,24902500,2229927
2010-12-27,249816000,2314700,21652800,2425257
2010-12-28,175924000,2699600,23042200,2137582
2010-12-29,163139200,3661100,19502500,2046040
2010-12-30,157494400,3039100,20786100,1986418
2010-12-31,193508000,2969800,24752000,3090139
2011-01-03,445138400,4603800,53443800,4748131
2011-01-04,309080800,5060100,54405600,3662677
2011-01-05,255519600,4657400,58998700,5083583
2011-01-06,300428800,5029200,88026300,4131026
2011-01-07,311931200,4135700,73762000,4218152
2011-01-10,448560000,3633400,57573600,3170238
2011-01-11,444108000,4163600,50298900,2889390
2011-01-12,302590400,4091500,52631100,3277640
2011-01-13,296780400,3445800,67077600,2678000
2011-01-14,308840000,4544200,62688400,4748934
2011-01-18,1880998000,9176900,53322700,7261115
2011-01-19,1135612800,12141000,50005900,6837734
2011-01-20,764789200,7439900,58613600,11012724
2011-01-21,754401200,7009000,58080300,17875552
2011-01-24,574683200,7285100,52047800,9232878
2011-01-25,546868000,8260800,42436600,7320938
2011-01-26,506875600,5353100,74628800,4091479
2011-01-27,285026000,4878300,146938600,4053537
2011-01-28,592057200,6725600,141249400,8493918
2011-01-31,377246800,7197200,65029000,5630827
2011-02-01,426633200,5831300,62810700,5511180
2011-02-02,258955200,3904000,45824000,3534599
2011-02-03,393797600,4683400,60340100,3001408
2011-02-04,321840400,3755200,40412200,3113226
2011-02-07,485021600,4928100,68980900,3612691
2011-02-08,381040800,5612600,34904200,3402506
2011-02-09,482745200,4633600,52905100,3698812
2011-02-10,928550000,5737800,76672400,4686300
2011-02-11,367572800,5185200,83939700,5199215
2011-02-14,310416400,4129800,56766200,4271953
2011-02-15,284174800,3768700,44116500,4199683
2011-02-16,481157600,3216000,70817900,3380624
2011-02-17,530583200,3230500,57207300,2968686
2011-02-18,816057200,4245000,68667800,6459923
2011-02-22,872555600,5209300,60889000,7307086
2011-02-23,671854400,5998100,60234100,5800862
2011-02-24,499900800,5707500,64494200,5443728
2011-02-25,380018800,4518400,53006300,3879286
2011-02-28,403074000,4773000,51379900,4580103
2011-03-01,456136800,4382800,60055000,6671312
2011-03-02,602590800,3413000,48658200,4068593
2011-03-03,500788400,4057800,68271500,3905183
2011-03-04,453266800,4910700,70437200,6044572
2011-03-07,546123200,5312000,64980400,6951358
2011-03-08,356316800,5384800,50549800,4586929
2011-03-09,453306000,9086600,39789100,4318125
2011-03-10,507539200,7041400,66549500,6279650
2011-03-11,471080400,4271000,49905800,6086729
2011-03-14,435957200,4300500,54473400,5653311
2011-03-15,721081200,6475800,76067300,8041228
2011-03-16,1162011200,12195300,100725400,7625475
2011-03-17,659422400,7376400,62497000,5820335
2011-03-18,753214000,11450000,85486700,6621928
2011-03-21,409402000,5784000,46878100,6064446
2011-03-22,325922800,4311400,30895600,3787945
2011-03-23,372996400,4782500,43969000,3646015
2011-03-24,404712000,5145800,38696700,4213133
2011-03-25,448910000,5348100,57029800,5738228
2011-03-28,309355200,3972800,48973200,4453430
2011-03-29,352900800,3456700,40763500,3221630
2011-03-30,329406000,3394100,41999300,2855262
2011-03-31,274019200,3860800,63233700,4074013
